# Starting date:             2015-05-15 17:47:41
# Cluster job name:          fribourg.m1.r2c.macc.r.goal
# Cluster job ID:            7348684
# Cluster node:              hnode17
# Cluster queue:             mpi.q
# Algorithm:                 fribourg -m1 -r2c -macc -r
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states,t_out,m_out,real_t,cpu_t,dt,da,file
717,N,N,2.182,3.830,1.0,0.1,s15_t1.0_a0.1_001.gff
354,N,N,2.118,3.314,1.0,0.1,s15_t1.0_a0.1_002.gff
38,N,N,1.402,2.414,1.0,0.1,s15_t1.0_a0.1_003.gff
750,N,N,2.179,3.936,1.0,0.1,s15_t1.0_a0.1_004.gff
1552,N,N,3.240,6.125,1.0,0.1,s15_t1.0_a0.1_005.gff
41,N,N,1.466,2.471,1.0,0.1,s15_t1.0_a0.1_006.gff
120,N,N,1.851,3.067,1.0,0.1,s15_t1.0_a0.1_007.gff
56,N,N,1.504,2.533,1.0,0.1,s15_t1.0_a0.1_008.gff
349,N,N,2.268,3.232,1.0,0.1,s15_t1.0_a0.1_009.gff
153,N,N,1.571,2.798,1.0,0.1,s15_t1.0_a0.1_010.gff
60,N,N,1.612,2.535,1.0,0.1,s15_t1.0_a0.1_011.gff
172,N,N,1.626,2.833,1.0,0.1,s15_t1.0_a0.1_012.gff
18,N,N,1.339,2.361,1.0,0.1,s15_t1.0_a0.1_013.gff
315,N,N,1.886,3.103,1.0,0.1,s15_t1.0_a0.1_014.gff
76,N,N,1.463,2.679,1.0,0.1,s15_t1.0_a0.1_015.gff
1449,N,N,3.657,6.529,1.0,0.1,s15_t1.0_a0.1_016.gff
82,N,N,1.497,2.672,1.0,0.1,s15_t1.0_a0.1_017.gff
34,N,N,1.283,2.413,1.0,0.1,s15_t1.0_a0.1_018.gff
17,N,N,1.360,2.323,1.0,0.1,s15_t1.0_a0.1_019.gff
233,N,N,1.943,3.005,1.0,0.1,s15_t1.0_a0.1_020.gff
996,N,N,2.865,5.442,1.0,0.1,s15_t1.0_a0.1_021.gff
118,N,N,1.446,2.645,1.0,0.1,s15_t1.0_a0.1_022.gff
22,N,N,1.249,2.310,1.0,0.1,s15_t1.0_a0.1_023.gff
72,N,N,1.534,2.664,1.0,0.1,s15_t1.0_a0.1_024.gff
57,N,N,1.329,2.435,1.0,0.1,s15_t1.0_a0.1_025.gff
35,N,N,1.329,2.414,1.0,0.1,s15_t1.0_a0.1_026.gff
115,N,N,1.613,2.694,1.0,0.1,s15_t1.0_a0.1_027.gff
162,N,N,1.697,2.775,1.0,0.1,s15_t1.0_a0.1_028.gff
75,N,N,1.721,2.611,1.0,0.1,s15_t1.0_a0.1_029.gff
2928,N,N,5.106,8.540,1.0,0.1,s15_t1.0_a0.1_030.gff
233,N,N,1.753,3.015,1.0,0.1,s15_t1.0_a0.1_031.gff
56,N,N,1.352,2.501,1.0,0.1,s15_t1.0_a0.1_032.gff
196,N,N,2.121,2.987,1.0,0.1,s15_t1.0_a0.1_033.gff
454,N,N,1.987,3.495,1.0,0.1,s15_t1.0_a0.1_034.gff
1013,N,N,2.443,5.092,1.0,0.1,s15_t1.0_a0.1_035.gff
2027,N,N,3.655,6.554,1.0,0.1,s15_t1.0_a0.1_036.gff
25,N,N,1.462,2.436,1.0,0.1,s15_t1.0_a0.1_037.gff
532,N,N,1.963,3.690,1.0,0.1,s15_t1.0_a0.1_038.gff
26,N,N,1.468,2.379,1.0,0.1,s15_t1.0_a0.1_039.gff
17,N,N,1.447,2.358,1.0,0.1,s15_t1.0_a0.1_040.gff
64,N,N,1.481,2.543,1.0,0.1,s15_t1.0_a0.1_041.gff
69,N,N,1.556,2.577,1.0,0.1,s15_t1.0_a0.1_042.gff
201,N,N,1.516,2.762,1.0,0.1,s15_t1.0_a0.1_043.gff
1781,N,N,3.416,6.813,1.0,0.1,s15_t1.0_a0.1_044.gff
308,N,N,2.076,3.567,1.0,0.1,s15_t1.0_a0.1_045.gff
507,N,N,2.347,3.593,1.0,0.1,s15_t1.0_a0.1_046.gff
276,N,N,1.704,3.067,1.0,0.1,s15_t1.0_a0.1_047.gff
95,N,N,1.400,2.580,1.0,0.1,s15_t1.0_a0.1_048.gff
193,N,N,1.803,3.012,1.0,0.1,s15_t1.0_a0.1_049.gff
61,N,N,1.490,2.687,1.0,0.1,s15_t1.0_a0.1_050.gff
21,N,N,1.255,2.326,1.0,0.1,s15_t1.0_a0.1_051.gff
88,N,N,1.385,2.534,1.0,0.1,s15_t1.0_a0.1_052.gff
111,N,N,1.583,2.769,1.0,0.1,s15_t1.0_a0.1_053.gff
25,N,N,1.288,2.350,1.0,0.1,s15_t1.0_a0.1_054.gff
221,N,N,1.761,2.935,1.0,0.1,s15_t1.0_a0.1_055.gff
241,N,N,1.649,3.008,1.0,0.1,s15_t1.0_a0.1_056.gff
302,N,N,1.823,3.274,1.0,0.1,s15_t1.0_a0.1_057.gff
2884,N,N,5.644,7.732,1.0,0.1,s15_t1.0_a0.1_058.gff
90,N,N,1.674,2.675,1.0,0.1,s15_t1.0_a0.1_059.gff
69,N,N,2.027,2.552,1.0,0.1,s15_t1.0_a0.1_060.gff
533,N,N,2.023,3.550,1.0,0.1,s15_t1.0_a0.1_061.gff
1719,N,N,3.516,6.440,1.0,0.1,s15_t1.0_a0.1_062.gff
126,N,N,1.478,2.698,1.0,0.1,s15_t1.0_a0.1_063.gff
319,N,N,1.758,3.171,1.0,0.1,s15_t1.0_a0.1_064.gff
951,N,N,2.345,4.818,1.0,0.1,s15_t1.0_a0.1_065.gff
4,N,N,1.233,2.256,1.0,0.1,s15_t1.0_a0.1_066.gff
147,N,N,2.099,2.806,1.0,0.1,s15_t1.0_a0.1_067.gff
38,N,N,1.533,2.441,1.0,0.1,s15_t1.0_a0.1_068.gff
555,N,N,1.949,3.662,1.0,0.1,s15_t1.0_a0.1_069.gff
27,N,N,1.396,2.333,1.0,0.1,s15_t1.0_a0.1_070.gff
12,N,N,1.232,2.331,1.0,0.1,s15_t1.0_a0.1_071.gff
88,N,N,1.961,2.570,1.0,0.1,s15_t1.0_a0.1_072.gff
1257,N,N,2.783,5.582,1.0,0.1,s15_t1.0_a0.1_073.gff
64,N,N,2.342,2.519,1.0,0.1,s15_t1.0_a0.1_074.gff
73,N,N,1.403,2.563,1.0,0.1,s15_t1.0_a0.1_075.gff
2612,N,N,5.298,8.866,1.0,0.1,s15_t1.0_a0.1_076.gff
90,N,N,1.571,2.745,1.0,0.1,s15_t1.0_a0.1_077.gff
1837,N,N,3.449,6.126,1.0,0.1,s15_t1.0_a0.1_078.gff
24,N,N,1.441,2.379,1.0,0.1,s15_t1.0_a0.1_079.gff
233,N,N,1.930,3.097,1.0,0.1,s15_t1.0_a0.1_080.gff
113,N,N,1.505,2.734,1.0,0.1,s15_t1.0_a0.1_081.gff
1040,N,N,2.586,4.770,1.0,0.1,s15_t1.0_a0.1_082.gff
216,N,N,1.750,2.899,1.0,0.1,s15_t1.0_a0.1_083.gff
151,N,N,1.688,2.826,1.0,0.1,s15_t1.0_a0.1_084.gff
1158,N,N,3.254,6.112,1.0,0.1,s15_t1.0_a0.1_085.gff
31,N,N,1.306,2.360,1.0,0.1,s15_t1.0_a0.1_086.gff
43,N,N,1.606,2.430,1.0,0.1,s15_t1.0_a0.1_087.gff
125,N,N,1.555,2.738,1.0,0.1,s15_t1.0_a0.1_088.gff
1022,N,N,2.536,5.065,1.0,0.1,s15_t1.0_a0.1_089.gff
86,N,N,1.433,2.579,1.0,0.1,s15_t1.0_a0.1_090.gff
471,N,N,2.404,4.315,1.0,0.1,s15_t1.0_a0.1_091.gff
166,N,N,1.549,2.805,1.0,0.1,s15_t1.0_a0.1_092.gff
127,N,N,1.550,2.889,1.0,0.1,s15_t1.0_a0.1_093.gff
1688,N,N,4.622,7.459,1.0,0.1,s15_t1.0_a0.1_094.gff
477,N,N,2.016,3.557,1.0,0.1,s15_t1.0_a0.1_095.gff
84,N,N,1.539,2.555,1.0,0.1,s15_t1.0_a0.1_096.gff
4,N,N,1.443,2.370,1.0,0.1,s15_t1.0_a0.1_097.gff
295,N,N,1.719,3.171,1.0,0.1,s15_t1.0_a0.1_098.gff
72,N,N,1.494,2.536,1.0,0.1,s15_t1.0_a0.1_099.gff
54,N,N,1.365,2.473,1.0,0.1,s15_t1.0_a0.1_100.gff
93,N,N,1.416,2.563,1.0,0.2,s15_t1.0_a0.2_001.gff
310,N,N,1.698,3.066,1.0,0.2,s15_t1.0_a0.2_002.gff
8,N,N,1.370,2.245,1.0,0.2,s15_t1.0_a0.2_003.gff
218,N,N,1.915,2.965,1.0,0.2,s15_t1.0_a0.2_004.gff
80,N,N,1.484,2.662,1.0,0.2,s15_t1.0_a0.2_005.gff
30,N,N,1.304,2.378,1.0,0.2,s15_t1.0_a0.2_006.gff
54,N,N,1.354,2.473,1.0,0.2,s15_t1.0_a0.2_007.gff
76,N,N,1.522,2.623,1.0,0.2,s15_t1.0_a0.2_008.gff
79,N,N,1.587,2.584,1.0,0.2,s15_t1.0_a0.2_009.gff
24,N,N,1.278,2.355,1.0,0.2,s15_t1.0_a0.2_010.gff
157,N,N,1.633,2.799,1.0,0.2,s15_t1.0_a0.2_011.gff
2295,N,N,4.774,7.866,1.0,0.2,s15_t1.0_a0.2_012.gff
12,N,N,1.490,2.356,1.0,0.2,s15_t1.0_a0.2_013.gff
29,N,N,1.294,2.375,1.0,0.2,s15_t1.0_a0.2_014.gff
144,N,N,1.624,2.982,1.0,0.2,s15_t1.0_a0.2_015.gff
70,N,N,1.410,2.574,1.0,0.2,s15_t1.0_a0.2_016.gff
129,N,N,1.479,2.714,1.0,0.2,s15_t1.0_a0.2_017.gff
2426,N,N,3.983,7.225,1.0,0.2,s15_t1.0_a0.2_018.gff
68,N,N,1.947,2.482,1.0,0.2,s15_t1.0_a0.2_019.gff
16,N,N,1.414,2.383,1.0,0.2,s15_t1.0_a0.2_020.gff
234,N,N,1.647,3.034,1.0,0.2,s15_t1.0_a0.2_021.gff
499,N,N,1.979,3.717,1.0,0.2,s15_t1.0_a0.2_022.gff
343,N,N,2.483,3.434,1.0,0.2,s15_t1.0_a0.2_023.gff
416,N,N,3.857,4.736,1.0,0.2,s15_t1.0_a0.2_024.gff
37,N,N,1.597,2.453,1.0,0.2,s15_t1.0_a0.2_025.gff
30,N,N,1.511,2.385,1.0,0.2,s15_t1.0_a0.2_026.gff
166,N,N,1.764,2.944,1.0,0.2,s15_t1.0_a0.2_027.gff
103,N,N,1.586,2.679,1.0,0.2,s15_t1.0_a0.2_028.gff
16,N,N,1.322,2.360,1.0,0.2,s15_t1.0_a0.2_029.gff
7,N,N,2.676,2.376,1.0,0.2,s15_t1.0_a0.2_030.gff
537,N,N,2.126,4.215,1.0,0.2,s15_t1.0_a0.2_031.gff
62,N,N,1.481,2.687,1.0,0.2,s15_t1.0_a0.2_032.gff
154,N,N,1.742,2.804,1.0,0.2,s15_t1.0_a0.2_033.gff
326,N,N,2.128,3.157,1.0,0.2,s15_t1.0_a0.2_034.gff
400,N,N,2.630,5.091,1.0,0.2,s15_t1.0_a0.2_035.gff
49,N,N,1.510,2.477,1.0,0.2,s15_t1.0_a0.2_036.gff
57,N,N,1.370,2.505,1.0,0.2,s15_t1.0_a0.2_037.gff
174,N,N,1.560,2.839,1.0,0.2,s15_t1.0_a0.2_038.gff
24,N,N,1.311,2.408,1.0,0.2,s15_t1.0_a0.2_039.gff
486,N,N,4.962,3.532,1.0,0.2,s15_t1.0_a0.2_040.gff
244,N,N,2.271,3.023,1.0,0.2,s15_t1.0_a0.2_041.gff
15,N,N,1.364,2.344,1.0,0.2,s15_t1.0_a0.2_042.gff
135,N,N,1.648,2.736,1.0,0.2,s15_t1.0_a0.2_043.gff
321,N,N,1.743,3.103,1.0,0.2,s15_t1.0_a0.2_044.gff
301,N,N,1.779,3.146,1.0,0.2,s15_t1.0_a0.2_045.gff
192,N,N,1.932,3.276,1.0,0.2,s15_t1.0_a0.2_046.gff
555,N,N,4.330,5.280,1.0,0.2,s15_t1.0_a0.2_047.gff
12,N,N,1.363,2.361,1.0,0.2,s15_t1.0_a0.2_048.gff
125,N,N,1.786,2.987,1.0,0.2,s15_t1.0_a0.2_049.gff
579,N,N,1.973,3.715,1.0,0.2,s15_t1.0_a0.2_050.gff
118,N,N,1.874,2.837,1.0,0.2,s15_t1.0_a0.2_051.gff
125,N,N,1.615,2.714,1.0,0.2,s15_t1.0_a0.2_052.gff
360,N,N,2.174,3.434,1.0,0.2,s15_t1.0_a0.2_053.gff
1033,N,N,2.437,5.025,1.0,0.2,s15_t1.0_a0.2_054.gff
456,N,N,1.861,3.600,1.0,0.2,s15_t1.0_a0.2_055.gff
217,N,N,1.684,3.095,1.0,0.2,s15_t1.0_a0.2_056.gff
23,N,N,1.565,2.375,1.0,0.2,s15_t1.0_a0.2_057.gff
63,N,N,1.917,2.482,1.0,0.2,s15_t1.0_a0.2_058.gff
20,N,N,1.550,2.332,1.0,0.2,s15_t1.0_a0.2_059.gff
886,N,N,2.446,4.125,1.0,0.2,s15_t1.0_a0.2_060.gff
31,N,N,2.210,2.356,1.0,0.2,s15_t1.0_a0.2_061.gff
147,N,N,1.530,2.709,1.0,0.2,s15_t1.0_a0.2_062.gff
44,N,N,1.381,2.560,1.0,0.2,s15_t1.0_a0.2_063.gff
55,N,N,1.378,2.478,1.0,0.2,s15_t1.0_a0.2_064.gff
67,N,N,1.370,2.524,1.0,0.2,s15_t1.0_a0.2_065.gff
849,N,N,2.237,3.952,1.0,0.2,s15_t1.0_a0.2_066.gff
241,N,N,1.804,3.249,1.0,0.2,s15_t1.0_a0.2_067.gff
24,N,N,1.336,2.468,1.0,0.2,s15_t1.0_a0.2_068.gff
221,N,N,1.826,2.974,1.0,0.2,s15_t1.0_a0.2_069.gff
4,N,N,1.395,2.582,1.0,0.2,s15_t1.0_a0.2_070.gff
43,N,N,1.326,2.438,1.0,0.2,s15_t1.0_a0.2_071.gff
262,N,N,1.642,2.940,1.0,0.2,s15_t1.0_a0.2_072.gff
6,N,N,1.247,2.301,1.0,0.2,s15_t1.0_a0.2_073.gff
193,N,N,2.049,3.339,1.0,0.2,s15_t1.0_a0.2_074.gff
200,N,N,1.655,2.898,1.0,0.2,s15_t1.0_a0.2_075.gff
135,N,N,1.611,2.774,1.0,0.2,s15_t1.0_a0.2_076.gff
64,N,N,1.527,2.510,1.0,0.2,s15_t1.0_a0.2_077.gff
82,N,N,1.409,2.585,1.0,0.2,s15_t1.0_a0.2_078.gff
18,N,N,2.121,2.381,1.0,0.2,s15_t1.0_a0.2_079.gff
1594,N,N,3.090,6.519,1.0,0.2,s15_t1.0_a0.2_080.gff
737,N,N,2.091,3.819,1.0,0.2,s15_t1.0_a0.2_081.gff
450,N,N,1.947,3.456,1.0,0.2,s15_t1.0_a0.2_082.gff
103,N,N,1.419,2.619,1.0,0.2,s15_t1.0_a0.2_083.gff
70,N,N,1.551,2.569,1.0,0.2,s15_t1.0_a0.2_084.gff
21,N,N,1.252,2.317,1.0,0.2,s15_t1.0_a0.2_085.gff
530,N,N,2.006,3.731,1.0,0.2,s15_t1.0_a0.2_086.gff
1305,N,N,2.873,5.579,1.0,0.2,s15_t1.0_a0.2_087.gff
728,N,N,2.543,4.924,1.0,0.2,s15_t1.0_a0.2_088.gff
147,N,N,1.939,3.266,1.0,0.2,s15_t1.0_a0.2_089.gff
17,N,N,2.100,2.340,1.0,0.2,s15_t1.0_a0.2_090.gff
102,N,N,1.476,2.650,1.0,0.2,s15_t1.0_a0.2_091.gff
98,N,N,1.409,2.589,1.0,0.2,s15_t1.0_a0.2_092.gff
257,N,N,1.697,3.055,1.0,0.2,s15_t1.0_a0.2_093.gff
330,N,N,1.804,3.319,1.0,0.2,s15_t1.0_a0.2_094.gff
125,N,N,1.691,2.768,1.0,0.2,s15_t1.0_a0.2_095.gff
61,N,N,1.904,2.537,1.0,0.2,s15_t1.0_a0.2_096.gff
337,N,N,2.042,3.290,1.0,0.2,s15_t1.0_a0.2_097.gff
368,N,N,2.050,3.338,1.0,0.2,s15_t1.0_a0.2_098.gff
47,N,N,1.472,2.500,1.0,0.2,s15_t1.0_a0.2_099.gff
89,N,N,1.609,2.701,1.0,0.2,s15_t1.0_a0.2_100.gff
55,N,N,1.548,2.540,1.0,0.3,s15_t1.0_a0.3_001.gff
58,N,N,1.447,2.582,1.0,0.3,s15_t1.0_a0.3_002.gff
258,N,N,1.774,3.067,1.0,0.3,s15_t1.0_a0.3_003.gff
172,N,N,1.612,2.886,1.0,0.3,s15_t1.0_a0.3_004.gff
1295,N,N,2.987,5.916,1.0,0.3,s15_t1.0_a0.3_005.gff
147,N,N,1.722,2.918,1.0,0.3,s15_t1.0_a0.3_006.gff
63,N,N,1.383,2.532,1.0,0.3,s15_t1.0_a0.3_007.gff
56,N,N,2.489,2.543,1.0,0.3,s15_t1.0_a0.3_008.gff
381,N,N,1.894,3.395,1.0,0.3,s15_t1.0_a0.3_009.gff
668,N,N,2.280,4.388,1.0,0.3,s15_t1.0_a0.3_010.gff
96,N,N,1.596,2.668,1.0,0.3,s15_t1.0_a0.3_011.gff
26,N,N,1.404,2.389,1.0,0.3,s15_t1.0_a0.3_012.gff
75,N,N,1.671,2.605,1.0,0.3,s15_t1.0_a0.3_013.gff
33,N,N,1.319,2.399,1.0,0.3,s15_t1.0_a0.3_014.gff
96,N,N,1.875,2.938,1.0,0.3,s15_t1.0_a0.3_015.gff
39,N,N,1.769,2.520,1.0,0.3,s15_t1.0_a0.3_016.gff
23,N,N,1.383,2.434,1.0,0.3,s15_t1.0_a0.3_017.gff
50,N,N,1.508,2.572,1.0,0.3,s15_t1.0_a0.3_018.gff
136,N,N,1.816,3.244,1.0,0.3,s15_t1.0_a0.3_019.gff
5,N,N,1.263,2.327,1.0,0.3,s15_t1.0_a0.3_020.gff
5,N,N,1.445,2.341,1.0,0.3,s15_t1.0_a0.3_021.gff
16,N,N,2.099,2.367,1.0,0.3,s15_t1.0_a0.3_022.gff
36,N,N,1.318,2.431,1.0,0.3,s15_t1.0_a0.3_023.gff
10,N,N,1.434,2.269,1.0,0.3,s15_t1.0_a0.3_024.gff
138,N,N,1.543,2.718,1.0,0.3,s15_t1.0_a0.3_025.gff
1174,N,N,2.837,5.439,1.0,0.3,s15_t1.0_a0.3_026.gff
10,N,N,1.401,2.537,1.0,0.3,s15_t1.0_a0.3_027.gff
121,N,N,1.779,2.813,1.0,0.3,s15_t1.0_a0.3_028.gff
123,N,N,2.097,2.717,1.0,0.3,s15_t1.0_a0.3_029.gff
7,N,N,1.247,2.285,1.0,0.3,s15_t1.0_a0.3_030.gff
182,N,N,1.639,2.936,1.0,0.3,s15_t1.0_a0.3_031.gff
14,N,N,2.143,2.420,1.0,0.3,s15_t1.0_a0.3_032.gff
678,N,N,2.197,3.904,1.0,0.3,s15_t1.0_a0.3_033.gff
45,N,N,1.448,2.439,1.0,0.3,s15_t1.0_a0.3_034.gff
627,N,N,2.006,3.743,1.0,0.3,s15_t1.0_a0.3_035.gff
3598,N,N,6.526,10.232,1.0,0.3,s15_t1.0_a0.3_036.gff
27,N,N,1.352,2.413,1.0,0.3,s15_t1.0_a0.3_037.gff
2048,N,N,4.824,7.217,1.0,0.3,s15_t1.0_a0.3_038.gff
10,N,N,1.269,2.260,1.0,0.3,s15_t1.0_a0.3_039.gff
252,N,N,1.739,3.250,1.0,0.3,s15_t1.0_a0.3_040.gff
295,N,N,2.381,3.273,1.0,0.3,s15_t1.0_a0.3_041.gff
80,N,N,1.469,2.586,1.0,0.3,s15_t1.0_a0.3_042.gff
155,N,N,1.590,2.795,1.0,0.3,s15_t1.0_a0.3_043.gff
43,N,N,1.520,2.466,1.0,0.3,s15_t1.0_a0.3_044.gff
101,N,N,1.653,2.689,1.0,0.3,s15_t1.0_a0.3_045.gff
94,N,N,1.716,2.912,1.0,0.3,s15_t1.0_a0.3_046.gff
59,N,N,1.546,2.599,1.0,0.3,s15_t1.0_a0.3_047.gff
10,N,N,1.403,2.380,1.0,0.3,s15_t1.0_a0.3_048.gff
100,N,N,1.694,2.813,1.0,0.3,s15_t1.0_a0.3_049.gff
107,N,N,1.470,2.658,1.0,0.3,s15_t1.0_a0.3_050.gff
15,N,N,1.399,2.424,1.0,0.3,s15_t1.0_a0.3_051.gff
267,N,N,1.818,3.126,1.0,0.3,s15_t1.0_a0.3_052.gff
24,N,N,1.440,2.381,1.0,0.3,s15_t1.0_a0.3_053.gff
64,N,N,1.453,2.652,1.0,0.3,s15_t1.0_a0.3_054.gff
73,N,N,1.477,2.596,1.0,0.3,s15_t1.0_a0.3_055.gff
116,N,N,1.637,2.942,1.0,0.3,s15_t1.0_a0.3_056.gff
601,N,N,2.839,3.890,1.0,0.3,s15_t1.0_a0.3_057.gff
176,N,N,1.599,2.928,1.0,0.3,s15_t1.0_a0.3_058.gff
67,N,N,1.454,2.650,1.0,0.3,s15_t1.0_a0.3_059.gff
88,N,N,1.547,2.668,1.0,0.3,s15_t1.0_a0.3_060.gff
599,N,N,2.637,4.941,1.0,0.3,s15_t1.0_a0.3_061.gff
17,N,N,1.382,2.369,1.0,0.3,s15_t1.0_a0.3_062.gff
58,N,N,1.438,2.600,1.0,0.3,s15_t1.0_a0.3_063.gff
79,N,N,1.529,2.591,1.0,0.3,s15_t1.0_a0.3_064.gff
32,N,N,1.553,2.517,1.0,0.3,s15_t1.0_a0.3_065.gff
676,N,N,2.680,3.986,1.0,0.3,s15_t1.0_a0.3_066.gff
4,N,N,1.406,2.342,1.0,0.3,s15_t1.0_a0.3_067.gff
130,N,N,2.147,2.832,1.0,0.3,s15_t1.0_a0.3_068.gff
66,N,N,1.443,2.532,1.0,0.3,s15_t1.0_a0.3_069.gff
23,N,N,1.268,2.311,1.0,0.3,s15_t1.0_a0.3_070.gff
711,N,N,3.762,6.524,1.0,0.3,s15_t1.0_a0.3_071.gff
28652,N,N,172.577,183.647,1.0,0.3,s15_t1.0_a0.3_072.gff
587,N,N,2.439,5.061,1.0,0.3,s15_t1.0_a0.3_073.gff
123,N,N,1.430,2.680,1.0,0.3,s15_t1.0_a0.3_074.gff
418,N,N,1.863,3.449,1.0,0.3,s15_t1.0_a0.3_075.gff
19,N,N,1.278,2.296,1.0,0.3,s15_t1.0_a0.3_076.gff
1014,N,N,2.413,5.080,1.0,0.3,s15_t1.0_a0.3_077.gff
268,N,N,1.712,3.230,1.0,0.3,s15_t1.0_a0.3_078.gff
227,N,N,1.641,2.985,1.0,0.3,s15_t1.0_a0.3_079.gff
47,N,N,1.333,2.449,1.0,0.3,s15_t1.0_a0.3_080.gff
108,N,N,1.483,2.698,1.0,0.3,s15_t1.0_a0.3_081.gff
165,N,N,1.526,2.817,1.0,0.3,s15_t1.0_a0.3_082.gff
560,N,N,2.060,3.762,1.0,0.3,s15_t1.0_a0.3_083.gff
25,N,N,1.285,2.360,1.0,0.3,s15_t1.0_a0.3_084.gff
165,N,N,1.569,2.883,1.0,0.3,s15_t1.0_a0.3_085.gff
58,N,N,1.361,2.504,1.0,0.3,s15_t1.0_a0.3_086.gff
18,N,N,1.257,2.299,1.0,0.3,s15_t1.0_a0.3_087.gff
37,N,N,1.302,2.398,1.0,0.3,s15_t1.0_a0.3_088.gff
25,N,N,1.270,2.354,1.0,0.3,s15_t1.0_a0.3_089.gff
33,N,N,1.301,2.428,1.0,0.3,s15_t1.0_a0.3_090.gff
16,N,N,1.244,2.289,1.0,0.3,s15_t1.0_a0.3_091.gff
151,N,N,1.567,2.912,1.0,0.3,s15_t1.0_a0.3_092.gff
761,N,N,2.811,5.314,1.0,0.3,s15_t1.0_a0.3_093.gff
82,N,N,1.438,2.679,1.0,0.3,s15_t1.0_a0.3_094.gff
156,N,N,2.812,2.832,1.0,0.3,s15_t1.0_a0.3_095.gff
41,N,N,1.410,2.516,1.0,0.3,s15_t1.0_a0.3_096.gff
84,N,N,1.547,2.833,1.0,0.3,s15_t1.0_a0.3_097.gff
46,N,N,2.470,2.450,1.0,0.3,s15_t1.0_a0.3_098.gff
225,N,N,1.731,3.166,1.0,0.3,s15_t1.0_a0.3_099.gff
64,N,N,1.384,2.517,1.0,0.3,s15_t1.0_a0.3_100.gff
126,N,N,1.570,2.883,1.0,0.4,s15_t1.0_a0.4_001.gff
134,N,N,1.784,2.760,1.0,0.4,s15_t1.0_a0.4_002.gff
42,N,N,1.598,2.452,1.0,0.4,s15_t1.0_a0.4_003.gff
97,N,N,2.216,2.650,1.0,0.4,s15_t1.0_a0.4_004.gff
15,N,N,1.259,2.347,1.0,0.4,s15_t1.0_a0.4_005.gff
740,N,N,4.073,8.219,1.0,0.4,s15_t1.0_a0.4_006.gff
14,N,N,1.275,2.352,1.0,0.4,s15_t1.0_a0.4_007.gff
19,N,N,1.260,2.341,1.0,0.4,s15_t1.0_a0.4_008.gff
363,N,N,2.127,3.721,1.0,0.4,s15_t1.0_a0.4_009.gff
5,N,N,1.234,2.271,1.0,0.4,s15_t1.0_a0.4_010.gff
10,N,N,1.231,2.310,1.0,0.4,s15_t1.0_a0.4_011.gff
66,N,N,1.678,2.685,1.0,0.4,s15_t1.0_a0.4_012.gff
14,N,N,1.373,2.575,1.0,0.4,s15_t1.0_a0.4_013.gff
136,N,N,1.468,2.732,1.0,0.4,s15_t1.0_a0.4_014.gff
118,N,N,1.662,3.044,1.0,0.4,s15_t1.0_a0.4_015.gff
60,N,N,1.461,2.685,1.0,0.4,s15_t1.0_a0.4_016.gff
8,N,N,1.245,2.322,1.0,0.4,s15_t1.0_a0.4_017.gff
143,N,N,2.469,2.972,1.0,0.4,s15_t1.0_a0.4_018.gff
281,N,N,1.896,3.234,1.0,0.4,s15_t1.0_a0.4_019.gff
376,N,N,1.787,3.236,1.0,0.4,s15_t1.0_a0.4_020.gff
320,N,N,2.763,4.953,1.0,0.4,s15_t1.0_a0.4_021.gff
31,N,N,1.524,2.393,1.0,0.4,s15_t1.0_a0.4_022.gff
37,N,N,1.529,2.488,1.0,0.4,s15_t1.0_a0.4_023.gff
1,N,N,1.502,2.766,1.0,0.4,s15_t1.0_a0.4_024.gff
69,N,N,1.426,2.626,1.0,0.4,s15_t1.0_a0.4_025.gff
51,N,N,1.333,2.459,1.0,0.4,s15_t1.0_a0.4_026.gff
11,N,N,1.878,3.320,1.0,0.4,s15_t1.0_a0.4_027.gff
31,N,N,1.292,2.368,1.0,0.4,s15_t1.0_a0.4_028.gff
102,N,N,1.429,2.593,1.0,0.4,s15_t1.0_a0.4_029.gff
15,N,N,1.248,2.273,1.0,0.4,s15_t1.0_a0.4_030.gff
248,N,N,1.696,3.118,1.0,0.4,s15_t1.0_a0.4_031.gff
11,N,N,1.228,2.302,1.0,0.4,s15_t1.0_a0.4_032.gff
15,N,N,1.944,3.594,1.0,0.4,s15_t1.0_a0.4_033.gff
95,N,N,1.458,2.709,1.0,0.4,s15_t1.0_a0.4_034.gff
258,N,N,2.575,3.616,1.0,0.4,s15_t1.0_a0.4_035.gff
466,N,N,2.268,4.629,1.0,0.4,s15_t1.0_a0.4_036.gff
3,N,N,1.224,2.260,1.0,0.4,s15_t1.0_a0.4_037.gff
85,N,N,4.563,2.652,1.0,0.4,s15_t1.0_a0.4_038.gff
75,N,N,1.467,2.566,1.0,0.4,s15_t1.0_a0.4_039.gff
10,N,N,1.236,2.290,1.0,0.4,s15_t1.0_a0.4_040.gff
157,N,N,1.531,2.758,1.0,0.4,s15_t1.0_a0.4_041.gff
54,N,N,1.423,2.637,1.0,0.4,s15_t1.0_a0.4_042.gff
6,N,N,1.240,2.293,1.0,0.4,s15_t1.0_a0.4_043.gff
257,N,N,1.658,3.035,1.0,0.4,s15_t1.0_a0.4_044.gff
